date,open,high,low,close,volume,amount
2014-04-03,2298.33,2300.2,2260.75,2267.89,25111513.0,15683474944.0
2014-04-04,2260.66,2282.79,2255.46,2282.76,14483421.0,9909586432.0
2014-04-08,2275.38,2320.57,2271.19,2317.36,37324546.0,27046808576.0
2014-04-09,2321.92,2331.61,2315.43,2327.57,21998239.0,15717209856.0
2014-04-10,2328.21,2367.29,2317.65,2356.33,40969378.0,30357160192.0
2014-04-11,2347.63,2363.54,2341.75,2355.59,32946746.0,25105809152.0
2014-04-14,2352.87,2364.8,2345.48,2363.55,21717310.0,16535201024.0
2014-04-15,2356.02,2356.03,2317.03,2321.47,22148708.0,16570185216.0
2014-04-16,2315.62,2329.03,2309.47,2321.45,16900572.0,12487612928.0
2014-04-17,2324.78,2327.52,2309.05,2315.49,15796867.0,12051659520.0
2014-04-18,2308.45,2315.56,2298.2,2315.23,16601092.0,12085659904.0
2014-04-21,2298.52,2318.8,2274.43,2274.79,17403909.0,13097874432.0
2014-04-22,2272.06,2284.52,2242.73,2272.02,18353525.0,13813968384.0
2014-04-23,2265.23,2274.75,2252.51,2259.77,17130195.0,12794638592.0
2014-04-24,2257.78,2272.23,2251.06,2253.87,13945300.0,9839124736.0
2014-04-25,2253.59,2259.4,2219.77,2220.52,19813139.0,13854436352.0
2014-04-28,2214.95,2216.99,2176.51,2179.49,21235091.0,14305690112.0
2014-04-29,2177.18,2205.01,2175.25,2204.48,16370578.0,10749398016.0
2014-04-30,2205.53,2221.65,2200.35,2215.1,14567746.0,9996282880.0
2014-05-05,2212.14,2220.24,2194.36,2219.36,16251158.0,10552034560.0
2014-05-06,2215.63,2232.8,2213.39,2223.85,15494252.0,10310745856.0
2014-05-07,2219.13,2219.13,2195.66,2196.71,16398623.0,11000240896.0
2014-05-08,2191.53,2226.21,2188.87,2195.76,16685372.0,11596647424.0
2014-05-09,2196.29,2200.09,2173.37,2185.54,15341303.0,10499743488.0
2014-05-12,2201.44,2243.65,2194.58,2243.14,25613663.0,17851643136.0
2014-05-13,2248.47,2251.65,2229.61,2239.21,21560024.0,14287383552.0
2014-05-14,2236.47,2243.15,2229.1,2235.18,15539881.0,10973633024.0
2014-05-15,2229.79,2231.7,2200.0,2201.86,15179574.0,10598562304.0
2014-05-16,2196.89,2200.48,2176.93,2196.81,15082673.0,10115460352.0
2014-05-19,2191.13,2191.13,2161.5,2174.46,15841154.0,10753666816.0
2014-05-20,2181.83,2193.95,2169.5,2174.07,13456431.0,8651840768.0
2014-05-21,2165.52,2194.07,2151.59,2193.59,13383357.0,9038643456.0
2014-05-22,2191.7,2211.56,2184.41,2185.12,14926504.0,10468438784.0
2014-05-23,2178.74,2198.85,2176.56,2198.75,11407311.0,8303499264.0
2014-05-26,2209.32,2222.42,2208.72,2218.11,13307783.0,9935381248.0
2014-05-27,2216.45,2223.32,2209.57,2210.85,13483344.0,9515851264.0
2014-05-28,2208.9,2228.43,2203.24,2225.1,15190744.0,11159887872.0
2014-05-29,2225.09,2229.39,2203.53,2205.06,14965783.0,10646605056.0
2014-05-30,2203.45,2214.81,2192.14,2204.89,14578253.0,10124097280.0
2014-06-03,2204.28,2213.76,2197.65,2198.36,14255766.0,9351473152.0
2014-06-04,2196.2,2197.32,2165.11,2175.24,14194202.0,9100049152.0
2014-06-05,2172.19,2194.97,2168.09,2194.35,11874890.0,7851737088.0
2014-06-06,2193.89,2193.89,2172.69,2181.37,11924958.0,8205800960.0
2014-06-09,2174.57,2190.94,2170.76,2174.48,11526439.0,7744267008.0
2014-06-10,2177.2,2201.7,2171.87,2201.63,16126965.0,11106343424.0
2014-06-11,2199.16,2210.27,2196.77,2209.18,13240428.0,9077103104.0
2014-06-12,2205.82,2205.91,2192.34,2198.45,13450090.0,8933368064.0
2014-06-13,2194.45,2227.98,2193.88,2226.23,21567951.0,14933546752.0
2014-06-16,2229.58,2249.95,2229.58,2248.84,24567072.0,17236519424.0
2014-06-17,2245.58,2245.58,2227.62,2230.04,16692962.0,11485395456.0
2014-06-18,2224.86,2225.54,2206.08,2208.66,16776708.0,10671624704.0
2014-06-19,2208.85,2212.7,2156.47,2163.07,16575867.0,11302679552.0
2014-06-20,2160.33,2180.8,2160.33,2180.25,13488179.0,9313272320.0
2014-06-23,2179.32,2190.89,2176.3,2179.51,12421221.0,8854090496.0
2014-06-24,2175.92,2190.7,2173.8,2189.65,11375125.0,8124303616.0
2014-06-25,2186.08,2186.27,2171.36,2182.07,11522868.0,7456869888.0
2014-06-26,2183.64,2202.88,2183.23,2202.67,13485643.0,9091291904.0
2014-06-27,2197.18,2219.04,2191.27,2212.92,15183479.0,10234355712.0
2014-06-30,2219.86,2232.87,2214.62,2232.08,16892477.0,11822875136.0
2014-07-01,2233.19,2240.54,2225.18,2238.46,15874127.0,11445803008.0
2014-07-02,2237.19,2258.77,2231.28,2258.17,17622539.0,12782368256.0
2014-07-03,2256.12,2281.28,2252.78,2275.2,19473922.0,14117526272.0
2014-07-04,2275.9,2279.17,2263.31,2267.22,16868626.0,12863978752.0
2014-07-07,2264.93,2274.54,2255.21,2266.72,15331159.0,10947716096.0
2014-07-08,2265.88,2278.54,2249.9,2277.43,16399643.0,11863149312.0
2014-07-09,2271.66,2272.02,2241.99,2243.19,18953193.0,13094988800.0
2014-07-10,2241.78,2251.35,2234.92,2238.56,16411937.0,11444966656.0
2014-07-11,2232.09,2256.74,2230.55,2247.16,16585596.0,11202979072.0
2014-07-14,2247.91,2284.6,2247.86,2284.32,20769668.0,15434025728.0
2014-07-15,2283.55,2288.45,2271.82,2288.45,22057736.0,16234821888.0
2014-07-16,2286.79,2296.15,2271.99,2278.06,26664932.0,16764070656.0
2014-07-17,2273.06,2273.06,2251.2,2264.92,20700764.0,13230882560.0
2014-07-18,2255.06,2283.98,2252.6,2272.45,21334272.0,14408873472.0
2014-07-21,2271.39,2274.63,2260.21,2265.66,17559943.0,11280011264.0
2014-07-22,2264.84,2305.98,2263.94,2305.31,25902048.0,18442549248.0
2014-07-23,2306.47,2319.66,2294.63,2304.73,28874546.0,19648038656.0
2014-07-24,2310.45,2334.92,2305.75,2331.59,44112179.0,30598757120.0
2014-07-25,2335.4,2358.1,2332.71,2358.1,32984489.0,22946341120.0
