w_stock,w_bond,w_gold,w_cash,entry_count,mean_return,median_return,mean_cagr,median_cagr,cagr_p10,cagr_p90,std_return,mean_maxdd,worst_maxdd,mean_sharpe,mean_calmar,best_return,worst_return,all_positive,positive_rate,win_rate_1m,win_rate_3m,win_rate_6m,win_rate_12m,win_rate_24m,version,version_label
0.3,0.1,0.4,0.2,5897,2.3836876850657496,1.8821950151429456,0.1087745449800762,0.0949647204664825,0.0832451982870654,0.1907706462340311,1.7874894513907045,0.1538029552695073,0.2213189660975558,1.45836583714444,0.7072331268893484,7.316691564955224,-0.0542113609210909,0,0.9852467356282856,0.9887678692988427,0.993657867672266,1.0,1.0,1.0,sp500,标普500
0.3500000000000001,0.2,0.35,0.1,5897,2.505263898415396,1.9793062629492095,0.1091225930820466,0.0977143606987118,0.0879577882977468,0.1822880538046188,1.913909485351962,0.1762478084184543,0.2229738117538795,1.574685348828416,0.6191429786347389,7.737062290793212,-0.0439233725143232,0,0.9862642021366796,0.989788972089857,0.99468632156325,1.0,1.0,1.0,sp500,标普500
0.3,0.05,0.4,0.25,5897,2.374600001748383,1.9077649659354623,0.1097834418905408,0.0948873267045027,0.0837073420361665,0.1927247708976226,1.7388790038202289,0.1480701338458943,0.2261947566151169,1.4676000050043327,0.7414286665317613,7.151388905396065,-0.0533215714061863,0,0.9854163133796846,0.9889380530973452,0.9938292766540968,1.0,1.0,1.0,sp500,标普500
0.3500000000000001,0.15,0.35,0.15,5897,2.492921813424806,2.009358563255694,0.1100924289324485,0.0982347799473795,0.0879581745260371,0.1843221793516488,1.8625286030638823,0.1666675053532744,0.2275946169145841,1.585663714548546,0.6605512496217703,7.570298810142395,-0.0426605322637484,0,0.9866033576394776,0.9901293396868618,0.9948577305450804,1.0,1.0,1.0,sp500,标普500
0.3500000000000001,0.1,0.35,0.2,5897,2.4856762785065967,2.0417333747337367,0.111169415099144,0.0987407550155856,0.0881140679723058,0.1864693974838822,1.8143317769382368,0.1579075206498745,0.2323095671721182,1.5970404762695218,0.7040159622646345,7.419931153623967,-0.0417707427488436,0,0.9867729353908768,0.9902995234853642,0.9948577305450804,1.0,1.0,1.0,sp500,标普500
0.3500000000000001,0.2,0.4,0.05,5897,2.754840410911177,2.1512181751551456,0.1159547303526827,0.1027931504988151,0.0914648925495702,0.1989393905763046,2.143717569245894,0.1842205359432895,0.2350564396676451,1.548812518021657,0.6294343340113735,8.748602175904523,-0.0532279987244865,0,0.9854163133796846,0.9889380530973452,0.9938292766540968,1.0,1.0,1.0,sp500,标普500
0.3500000000000001,0.15,0.4,0.1,5897,2.7389629569527547,2.1804652768038357,0.1169072750482073,0.1030532590074726,0.0913734123335388,0.2008651482905564,2.085254697999932,0.1745724415816054,0.2396485521416384,1.5579627182746287,0.6696777222626973,8.54375218994064,-0.0522330079305132,0,0.9854163133796846,0.9889380530973452,0.9938292766540968,1.0,1.0,1.0,sp500,标普500
0.3500000000000001,0.1,0.4,0.15,5897,2.767397582860976,2.206681300752996,0.1182469128354581,0.1040378474233976,0.0918499289646457,0.2030496227101756,2.087577923543437,0.1668385172994199,0.2443197033036966,1.5753650953427678,0.708750681494274,8.549004809373487,-0.0513432184156087,0,0.9855858911310836,0.9891082368958476,0.9940006856359274,1.0,1.0,1.0,sp500,标普500
0.3500000000000001,0.05,0.4,0.2,5897,2.742492096153078,2.2299354654295493,0.1190753046775643,0.1038425451351685,0.0918203274579424,0.2051480168896229,2.018625609645316,0.1608170994966959,0.2491240202669438,1.579244518624436,0.740439325483611,8.319564502707605,-0.0504534289007049,0,0.9859250466338816,0.9894486044928524,0.9943435035995888,1.0,1.0,1.0,sp500,标普500
0.4000000000000001,0.05,0.35,0.2,5897,2.813817264048379,2.261075170966785,0.1193326489447508,0.106115374636839,0.0943380488418118,0.1984053032080337,2.089225099747266,0.1669143242583573,0.2588920457745072,1.6955213839886096,0.7149335413540812,8.575070157378022,-0.0380128107284566,0,0.9872816686450736,0.9908100748808714,0.9950291395269112,1.0,1.0,1.0,sp500,标普500
0.4000000000000001,0.15,0.4,0.05,5897,3.0769919900043314,2.3944125895645394,0.1239970105903939,0.1096993084696296,0.097695135953612,0.2112752936211811,2.397307225221373,0.188123321180776,0.2614950839180029,1.6398058834340232,0.6591262040884329,9.827524835225132,-0.04936486542503,0,0.9866033576394776,0.9901293396868618,0.9948577305450804,1.0,1.0,1.0,sp500,标普500
0.4000000000000001,0.1,0.4,0.1,5897,3.1084883721117,2.4229204282533323,0.1253210878896904,0.1105931957316375,0.0983289898662091,0.2130756650884799,2.409283428005197,0.1790570445068045,0.2660526806811449,1.655933174104662,0.6998947638998251,9.88889754366032,-0.0484750759101255,0,0.9867729353908768,0.9902995234853642,0.9948577305450804,1.0,1.0,1.0,sp500,标普500
0.4000000000000001,0.05,0.4,0.15,5897,3.086117718258594,2.4532317317912797,0.1262714097799703,0.1107803421748701,0.0982522030870746,0.2151731308981674,2.337546091680881,0.1742734944876545,0.2706160447293748,1.661138236540196,0.7245588903303672,9.653970902077612,-0.0475852863952215,0,0.9867729353908768,0.9902995234853642,0.9948577305450804,1.0,1.0,1.0,sp500,标普500
